final_review_id	case_type	claim_or_scope_id	prior_review_ids	source_record	source_locus	result	severity_if_failed	profile_ruling	evidence_summary	required_action_if_failed	notes
FA-026	claim	event:israel.exile.first-captivity#0	E2-006;S6-002;RR-010	passage.george-leo-haydock...psalm-70-captivities-usher-chronology	Haydock note at Ps 70:1, artifact PDF page 776 (printed p. 740), right-hand commentary column	PASS	-	Admissible. Haydock (rank 3) reporting Usher is the Catholic edition's testimony; "no assertion may name him alone" is satisfied, disposition alternate beneath the rank-1 Daniel 1:1 preferred. Correct under 4.2/4.3.	Reopened the source at the page image, not the OCR: /tmp/triptych-haydock.AQsGRA/Haydock Douay-Rheims Catholic Bible.pdf, sha256 9d2dd602... == the registered artifact hash. pdftoppm page 776 at 600/1200 dpi. Printed: "Ch.-This first captivity happened under Joakim, A. M. 3398, the second, under Jechonias, 3405, and the last, when the city was destroyed and Sedecias was taken, 3416 Usher.-". The 3405 leading digit is unambiguously a 3 at 1200 dpi. The PDF text layer (the retained OCR) reads "A.M: 3398 ... 8405 ... 3416", confirming the corruption the note discloses. HEAD basis quotes that printed sentence and nothing else; the repository's own phrase "explicitly attributed to Usher" (2330d63a5) is gone from inside the quotation marks and replaced by unquoted lead-in "prints a chronology the page attributes to Usher by the siglum standing after the figures". Query Ps.70.1 confirms the live basis. Structure identical across 2330d63a5/214797e78/eb38161ba/HEAD (2 claims, alternate+preferred); only basis and note changed.	-	Manifest's suggested probe "query 4Kings.24.1" does not reach this claim: first-captivity is bound at Ps 70 (superscription-setting) and Dan 1:1-7 / 2Par 36:6-7; 4Kings.24.1 belongs to israel.exile.carchemish. Used Ps.70.1 and Dan.1.1 instead. TRIVIAL, SUB-THRESHOLD: the page prints "A. M." with a space; the basis renders it "A.M." inside quotation marks, and the note's sentence 'the retained OCR ... renders "A.M." as "A.M:"' therefore misdescribes the printed form by one space. The same edition's spacing IS preserved elsewhere in the corpus ("A. M. 2513, A. C. 1491" on israel.exodus.burning-bush). No word, numeral or attribution is wrong; recorded for the coordinator rather than failed.
FA-027	claim	event:israel.exile.second-captivity#0	E2-007;LEAD-013;P-011;LEAD-002;RR-011;WD-LEAD-002	passage.george-leo-haydock...psalm-70-captivities-usher-chronology	Haydock note at Ps 70:1, PDF page 776: the clause "the second, under Jechonias, 3405"	PASS	-	Demotion correct and complete. Exactly one preferred on this subject and it is the rank-1 Scripture claim (4 Kings 24:12). A.M. 3405 (rank 3, Haydock reporting Usher) and Reid's 597 B.C. (rank 6) are both alternate. 4.2's "a higher rank never yields to a lower one because the lower one is more precise" is now obeyed; the corpus states the rule explicitly in the note.	Same hash-verified facsimile page 776, read as an image. Basis at HEAD quotes the WHOLE printed sentence ("This first captivity happened under Joakim, A.M. 3398, the second, under Jechonias, 3405, and the last, when the city was destroyed and Sedecias was taken, 3416 Usher."), not the 2330d63a5 slice '"the second under Jechonias as A.M. 3405"' which was repository paraphrase in quotation marks. Query 4Kings.24.12 (via Ezech and 4Kings.24.8-16 bindings) returns exactly one preferred, the 4 Kings 24:12 relative claim. Note now carries the ranking rationale and the OCR disclosure. Diff: 2330d63a5 had this claim preferred with only 2 claims on the event; 214797e78 onward alternate with 3.	-	Same trivial "A. M."/"A.M." spacing observation as FA-026; not failed. Basis here closes the quotation with the printed period, FA-026's truncates before it - both defensible, inconsistent with each other.
FA-028	claim	event:israel.exile.second-captivity#1	RR-012;RR-013	bible:douay-rheims:4Kings.24.12; bible:douay-rheims:4Kings.24.8	4 Kings 24:12 and 24:8, tracked Douay	PASS	-	Rank 1, preferred, strictly above both alternates. Not derived; no arithmetic. Correct.	Tracked Douay reopened: 24:12 "And Joachin, king of Juda, went out to the king of Babylon, he, and his mother, and his servants, and his nobles, and his eunuchs: and the king of Babylon received him in the eighth year of his reign." and 24:8 "Joachin was eighteen years old when he began to reign, and he reigned three months in Jerusalem" - both quoted verbatim in the basis. relative.statement is the verse's own words; label "in the eighth year of his reign". Anchor israel.exile.nabuchodonosor-accession EXISTS (events.yaml:4117) and is the accession, not the reign; its own claim is relative on joakim-accession from Jer 25:1/46:2, so no cycle and no era anchor is manufactured. The exegesis is sound and disclosed: "his reign" cannot be Joachin's, who reigned three months per 24:8, and "the king of Babylon" is the nearest antecedent. Loader confirms no arithmetic is possible - relative accepts only {of, statement, note} (scripts/_chronology.py:1536) and Date.value returns the statement string.	-	validate remarks "no binding reaches event israel.exile.nabuchodonosor-accession"; that is the accepted anchor-only-event pattern (17 such events), a remark and not an error.
FA-029	claim	event:israel.exile.second-captivity#2	RR-013	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03315a-9cb437e2	Reid, "Captivities of the Israelites", CE vol. 3 (1908), the paragraph on the fall of Juda	PASS	-	Rank 6, alternate, correctly beneath rank 1 and rank 3. Reid asserts the year in his own narrative voice, not reporting Ussher or a modern authority.	Retained extraction AND live refetch of https://www.newadvent.org/cathen/03315a.htm both give: "Joachin (Jehoiachin), who meanwhile had succeeded to the crown of Juda, was forced to surrender the beleaguered city, 597 B.C. His life was spared ... The princes and leading men, the rank and file of the army, the citizen of wealth, and the artificers, numbering in all 10,000, were carried captive to Chaldea." The basis quotes this exactly with a correctly marked elision. Provenance record names Reid, George / "Captivities of the Israelites" / vol. 3 / New York 1908, matching the live page byline and <title>. The note's repair is real and correct: "the Anno Mundi figure preferred above" (2330d63a5) -> "the Anno Mundi figure recorded above" (HEAD); no note on this subject now describes a sibling's disposition. "Recorded above" is true in both file order and rendered query order.	-	Read all three notes on the subject together as required; none misstates another claim's standing.
FA-030	claim	event:israel.exile.third-captivity#0	E2-008;LEAD-001;P-012;RR-014;WD-LEAD-001;WD-P-012	passage.george-leo-haydock...psalm-70-captivities-usher-chronology	Haydock note at Ps 70:1, facsimile page 776: "the last, when the city was destroyed and Sedecias was taken, 3416 Usher"	PASS	-	Preferred is admissible. Haydock (rank 3) is strictly above every alternate on this subject (four rank-6 CE figures: 586, 587, 588, 536), so 4.4 is satisfied without a settling note. Rank 1 is silent WITHIN this subject as the corpus partitions it - see notes.	Read the facsimile page image, not the OCR. Printed: "and the last, when the city was destroyed and Sedecias was taken, 3416 Usher.-". HEAD basis encloses in quotation marks only "the last, when the city was destroyed and Sedecias was taken, 3416" - verbatim - and keeps the A.M. 3398 and 3405 material OUTSIDE the quotation marks as paraphrase. The audited 2330d63a5 basis quoted '"the last, when Jerusalem was destroyed and Sedecias was taken, as A.M. 3416"', words the page does not print; that misquotation is gone. Query 4Kings.25.8 shows the live basis and note. Passage record's Psalm 88 caveat is quoted accurately in the note. Structure unchanged across all four revisions (5 claims, 1 preferred + 4 alternates).	-	Checked the rank-1 question the FA-027 family raises: Scripture's dateline for the fall (4 Kings 25:2-3, "besieged till the eleventh year of king Sedecias, The ninth day of the month") lies in israel.exile.final-siege's binding scope (4Kings 25:1-3), NOT in third-captivity's (4Kings 25:4-21), and final-siege already holds it as a rank-1 preferred relative claim carrying "and besieged till the eleventh year"; 4 Kings 25:8-9 is likewise held rank-1 preferred on israel.exile.burning-of-the-temple. So no rank-1 statement is being buried. The partition is a modelling choice worth the coordinator's eye, but on the corpus's own scoping rank 1 is silent here. The 536/586 alternate set is another lane's.
FA-031	claim	event:israel.exodus.passage-of-the-red-sea#0	RR-015	bible:douay-rheims:Ex.14.21; bible:douay-rheims:Ex.14.22; bible:douay-rheims:Num.33.8	Exodus 14:21-22 and Numbers 33:8; Exodus 15:22 and Numbers 33:3-7 as the ground of the note	PASS	-	Rank 1, sole claim, preferred. The authored event is not a fictitious waypoint: Numbers 33 puts the sea crossing exactly where the event places it.	Tracked Num 33 read in full: v3 departure from Ramesses "the fifteenth day of the first month"; v5 Soccoth; v6 Etham; v7 Phihahiroth/Magdalum; v8 "And departing from Phihahiroth, they passed through the midst of the sea into the wilderness: and having marched three days through the desert of Etham, they camped in Mara"; v9 Elim. The crossing therefore stands between the departure and Mara, as claimed. Ex 14:21 and 14:22 quoted verbatim in the basis (exact). The real fix is verified downstream: israel.wilderness.mara-and-elim's anchor moved israel.exodus.the-exodus -> israel.exodus.passage-of-the-red-sea between 2330d63a5 and 214797e78, and both cited verses measure the three days from the sea, not the departure - Ex 15:22 "And Moses brought Israel from the Red Sea ... they marched three days through the wilderness", Num 33:8 as above. The new claim's relative carries no length, matching the note's "the anchor below carries the order of the itinerary and no length at all". Anchor is an antecedent event, not a container (this event has no parent), so it is not the FA-025 shape.	-	validate remarks "no binding reaches event israel.exodus.passage-of-the-red-sea". The manifest asked me to confirm a binding reaches it; none does. This is the accepted anchor-only-event pattern the corpus already holds (17 such events, including israel.exile.nabuchodonosor-accession, israel.judges.ark-comes-to-cariathiarim, israel.maccabees.seleucid-era), and guidance section 6.1 makes it a remark and not an error. No locus lost coverage: Ex.14.21 still answers dated from israel.exodus.the-exodus, whose narrated-event binding covers Ex.14.
FA-032	claim	event:israel.exodus.the-exodus#0	E1-008;E1-010;LEAD-014;G-006;RR-016	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", close of "Birth of Abraham to the Exodus": the 1490 B.C.	PASS	-	Alternate is correct. Howlett is rank 6 and the figure is built on Ussher's regnal years, which 4.3 permits only as reported by a ranked Catholic source - which this is. It cannot outrank the rank-1 3 Kings 6:1 interval it is computed FROM.	Retained extraction and live refetch of 03731a both give: "For ( 1 Kings 6:1 ) the fourth year of King Solomon is said to have fallen in the 480th year after the Exodus; and Ussher dates the reign of King Solomon from 1014-975 B.C. But as the Temple was begun in the fourth year of that king, or in 1010, the Exodus took place in the year 1490 B.C." The basis quotes this verbatim from "the fourth year". The 1490 is manifestly NOT independent of the preferred rank-1 claim: it is 1010 + 480. The note now says so ("builds it on Usher's regnal years ... It is held below 3 Kings 6:1 because a rank-6 report of Usher's regnal years never outranks Scripture's own interval") and the 2330d63a5-era "reached independently" language is gone. Query Ex.12.41 on subject israel.exodus.the-exodus: exactly 1 preferred, 2 alternates, 0 disputed. Diff: all four Exodus claims were disputed at 2330d63a5; at 214797e78 the 1277 was withdrawn and these three re-disposed.	-	The disputed claims also returned at Ex.12.41 belong to a different subject (israel.egypt.sojourn); 4.4's "no claim on that subject is preferred while any is disputed" is per-subject and is satisfied.
FA-033	claim	event:israel.exodus.the-exodus#1	E1-009;LEAD-014;P-004;RR-017;RR-090	bible:douay-rheims:3Kings.6.1	3 Kings 6:1, tracked Douay; Clementine Vulgate at the same locus	PASS	-	Rank 1, preferred, strictly above both rank-6 alternates. The preference became available because the inadmissible 1277 was withdrawn (FA-035, which I rule correct), so this preference stands with it. No disputed claim remains on the subject, so 4.4 is satisfied.	Tracked Douay 3Kings 6:1 reopened: "And it came to pass in the four hundred and eightieth year after the children of Israel came out of the land of Egypt, in the fourth year of the reign of Solomon over Israel, in the month Zio, (the same is the second month) he began to build a house to the Lord." The basis quotes it verbatim from "in the four hundred and eightieth year". relative.statement is the verse's own words; anchor israel.monarchy.temple-begun is the correct endpoint - the verse counts the 480th year TO the founding of the house, so the Exodus is positioned from it, and temple-begun's own preferred claim is the SAME verse (relative on solomon-accession), i.e. the two ends of one interval, no cycle. No arithmetic: relative accepts only {of, statement, note}. I independently checked the Clementine at the same locus: "Factum est ergo quadringentesimo et octogesimo anno egressionis filiorum Israel de terra Aegypti ..." - 480, confirming the note's "the Douay and Clementine Vulgate read four hundred and eighty". RR-090's dependency verified: israel.monarchy.temple-begun no longer holds Howlett's 958.	-	TRIVIAL: the note asserts the Clementine reading but sources: lists only bible:douay-rheims:3Kings.6.1, although bible:clementine-vulgate: ids exist in the corpus (bindings.yaml:4095, 4121). I verified the Clementine text myself and it is accurate; recorded, not failed.
FA-034	claim	event:israel.exodus.the-exodus#2	E1-010;LEAD-014;P-004;G-006;RR-018;RR-090	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", opening of "The Exodus to the building of Solomon's Temple": the Septuagint's 440 years	PASS	-	DECIDED AT THE SOURCE: the 440 is a printed text-family variant, not a modern reconstruction. Howlett prints it as the Septuagint's reading, in a parenthesis, in the sentence that reports what 3 Kings 6:1 states. It is therefore admissible as a rank-6 report of a Greek variant and 4.4 requires exactly what the corpus does - alternate beneath the rank-1 Douay interval, never a rival to it.	Retained extraction and live refetch agree: "The Third Book of Kings (vi, 1) states that Solomon began to build the Temple in the 480th year (the Septuagint gives 440 years) after the Exodus. For the Catholic , that passage seems to settle the question." The basis quotes that first sentence verbatim. Read in its paragraph, the sentence is Howlett REPORTING both readings before he begins his own argument; his own conclusion in that section is the 1277, which is a different figure and is withdrawn (FA-035). The article's later "and also that it reads 440 instead of 480" likewise reports the Greek. The note identifies it correctly as "a rank-6 report of a Greek variant" and its cross-reference is true: israel.monarchy.temple-begun#0's note reports the same variant ("the Septuagint reads 440, not 480 ... This corpus prints the Douay number and picks neither") and authors no claim from it. Anchor and endpoint identical to FA-033 and correct.	-	The relative.statement carries the source's whole printed clause including the 480, which is the sibling claim's figure. That is the source's own wording and nothing computes from it, so it is preservation rather than conflation; noted because a consumer reads the statement.
FA-035	claim	event:israel.exodus.the-exodus#3	LEAD-014;RR-019;RR-090	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", closing sentence of "The Exodus to the building of Solomon's Temple": "We conclude, therefore, that the date of the Exodus was about 1277 ..."	PASS	-	Withdrawal, not re-disposition, is the right remedy. 4.3 bars modern critical / Egyptological / Assyriological chronology absolutely - "not consulted, not used to adjust a traditional date, not treated as a correction" - and 4.1 says a modern chronology is a separate profile with its own id. An inadmissible authority yields no claim, so 4.4's preserve-the-disagreement does not reach it; the subject note is the correct place, and it is not an assertion.	I read the whole paragraph before the concluding sentence and judged the ground myself. The 1277 rests on nothing but modern authorities: "there is almost a consensus of scientific opinion"; "Assyriologists and Egyptologists agree, Palestine was an Egyptian province, with an Egyptian governor (Driver, 'Genesis', p. xxix)"; "Ramses II ... reigned from 1348-1281 (Sayce)"; "to about the year 1277 (Early History of the Hebrews, 150)" - Sayce's book; and the 480 is disposed of by "Wellhausen and Stade regard 6:1 , as a late insertion (Burney)". Howlett himself concedes "This is not the traditional date of the Exodus". No traditional or scriptural support appears anywhere in the chain. Absence verified at HEAD: 1277 occurs 4 times in events.yaml and every one is inside a NOTE; a programmatic scan of every claim in events.yaml finds no date, label or endpoint carrying 1277 on any Exodus claim. The subject note records it exactly as the manifest requires, quoting "that the date of the Exodus was about 1277", "This is not the traditional date of the Exodus, but as Father Hummelauer (Genesis, p. 29) says, it is the conclusion of most men in these days", "we are left with only about 327 years, as against 480 required by 1 Kings 6:1" and "that passage seems to settle the question" - all four verified verbatim against the retained extraction AND the live New Advent page.	-	The one other claim that mentions 1277 (israel.patriarchs.abram-enters-chanaan#0) does so only in its note as a coherence remark and asserts 2300 B.C.; outside this lane.
FA-036	claim	event:israel.exodus.the-plagues-of-egypt#0	A4-004;LEAD-010;RR-020	bible:douay-rheims:Ex.5.1; Ex.7.25; Ex.9.31; Ex.12.29	Exodus 5:1, 7:25, 9:31-32, 12:29, tracked Douay	PASS	-	Rank 1, preferred, above the rank-6 alternate. Temporal shape now correct: the seven days are a LENGTH inside the narrative and are no longer encoded as an offset from the anchor.	The audited shape at 2330d63a5 was precision relative on israel.exodus.moses-before-pharao with statement AND label "seven days were fully ended, after that the Lord struck the river" - a magnitude in the offset payload, and one Scripture counts from the striking of the river (Ex 7:20), not from the audience of Ex 5:1. At HEAD no magnitude survives in the relative payload: statement is the series' opening and close and label is "from the first audience before Pharao to the slaying of the firstborn". Verses reopened: Ex 5:1 "Moses and Aaron went in, and said to Pharao: Thus saith the Lord God of Israel: Let my people go" (exact); Ex 12:29 "at midnight, the Lord slew every firstborn in the land of Egypt" (exact); Ex 7:25 "And seven days were fully ended, after that the Lord struck the river" (exact, now in the basis only); Ex 9:31-32 "The flax therefore, and the barley were hurt, because the barley was green, and the flax was now bolled; But the wheat, and other winter corn were not hurt, because they were lateward" (exact). The claim note states the reason for removal correctly, including that Ex 7:20's striking of the river stands between the audience and the seven days and that the corpus holds no event to carry them. Loader confirms the shape cannot compute (relative keys {of, statement, note} only).	-	TRIVIAL: the basis correctly names "Exodus 9:31-32" in prose and quotes both verses, but sources: lists only bible:douay-rheims:Ex.9.31, not Ex.9.32. Elsewhere the corpus lists each quoted verse (e.g. 4Kings.25.1 + 25.2, Ex.14.21 + 14.22). Recorded, not failed.
FA-037	claim	event:israel.exodus.the-plagues-of-egypt#1	LEAD-010;A4-005;RR-021	artifact.catholic-encyclopedia.volume-12.new-york-1911.newadvent-12143a-0612afa4	Bechtel, "Plagues of Egypt", CE vol. 12 (1911), second paragraph, the seasonal bracket	PASS	-	Rank 6, alternate, correctly beneath the rank-1 preferred. Both disclosed facts are true at the source: the bracket covers only the last four plagues, and the anchor stands at the window's CLOSE.	Retained extraction and live refetch of 12143a (live sha256 0612afa45e712cdc... == the registered artifact hash, byte-identical) give the second paragraph: "The interval of time within which they occurred cannot be stated with certainty . The last four must have followed in close succession between the beginning of March and the first days of April. For when the hail fell barley was in the ear and flax in bud, which in Lower Egypt happens about March, and the Israelites left on the 14th of Nisan, which falls in the latter part of March or the early part of April. The first six seem also to have succeeded one another at short intervals, but the interval, if any, between them and the last four is uncertain." Every clause the basis and note quote is verbatim, including "The second plague came seven days later". SCOPE: the bracket is explicitly "The last four", so the 2330d63a5 label "between the beginning of March and the first days of April" was over-broad; HEAD's "the last four, between the beginning of March and the first days of April" is right. ENDPOINT: Bechtel reaches the bracket by reasoning BACK from the departure ("the Israelites left on the 14th of Nisan, which falls in the latter part of March or the early part of April"), so the Exodus closes the window; the note discloses this in terms ("The anchor named here stands at the window's CLOSE and not at its start"). Query Ex.9.18 confirms both in the live label and note.	-	The note also quotes the article's opening refusal and its "if any" hedge, so the corpus does not present a season as a date. Provenance record names Bechtel, F. / "Plagues of Egypt" / vol. 12 / New York 1911, matching the live page.
FA-038	claim	event:israel.judges.capture-of-the-ark#0	A7-017;S4-011;RR-022	bible:douay-rheims:1Kings.4.11; 1Kings.4.12; 1Kings.4.18	1 Kings (1 Samuel) 4:11, 4:12, 4:18, tracked Douay	PASS	-	Rank-1 Scripture; sole claim on the subject, preferred; admissible.	HEAD label is 'on the day the ark of God was taken, at the close of Heli's judgeship' - a position, not a duration. Note ends '...no era figure is asserted here.'; the 'Some Greek copies read twenty years at 4:18' sentence present at 2330d63a5 is gone at 214797e78 and HEAD. Douay read directly from src/sources/bibles/douay-rheims/chapters/1Kings/4.json: 4:11, 4:12, 4:18 match the basis and relative.statement word for word; the forty years stand in 4:18 as Heli's judgeship, not the ark's. precision relative, anchor israel.judges.heli-judgeship, relation narrated-event. Block diffed 2330d63a5 / 214797e78 / HEAD: only note-tail and label changed; basis, sources, precision, anchor, statement untouched. No 'Greek copies' string survives anywhere in src/sources/chronology/*.yaml.	-	Observation, not a defect: the binding scope for this claim is 1Kings.4.1-11 + 4.19-22, so a reader standing at 1Kings.4.12 - a verse this claim cites as a source - is answered by israel.judges.heli-judgeship (scope 1Kings.4.12-18) instead. Source locus and binding scope are distinct things and both are defensible.
FA-039	claim	event:israel.judges.heli-judgeship#0	A2-028;RR-023	bible:douay-rheims:1Kings.4.18	1 Kings (1 Samuel) 4:18, tracked Douay	PASS	-	Rank-1 Scripture; sole claim, preferred; admissible.	HEAD: precision duration, duration.years 40, duration.statement 'he judged Israel forty years', duration.within israel.judges.period, NO relative anchor, label 'And he judged Israel forty years'. Note reads in full: 'A duration, not an anchored date. The Douay text here reads forty.' Tracked Douay 4:18 read directly: '...And he judged Israel forty years.' - verbatim. Block diffed across 2330d63a5 / 214797e78 / HEAD: the ONLY change is the removal of 'Some Greek copies read twenty years;' from the note; value, statement, within and label byte-identical. No registered Greek witness exists in the corpus, so removal rather than attribution was the only option open to a correction lane.	-	Prose residue, not a defect: 'The Douay text HERE reads forty' now contrasts with nothing, the contrast having been the struck clause. The sentence remains true of the tracked text.
FA-040	claim	event:israel.judges.period#0	A2-026;A2-029;LEAD-010;LEAD-015;RR-024	bible:douay-rheims:Acts.13.20 (with 13.19, 13.21)	Acts 13:17-21, tracked Douay	PASS	-	Rank-1 Scripture; sole claim, preferred; admissible. New Testament testimony on an OT interval, flagged as such in the note.	HEAD: relative.of = israel.conquest.division-of-the-land; statement and label are Acts 13:20 verbatim in the Douay's own word order - 'As it were, after four hundred and fifty years. And after these things, he gave unto them judges, until Samuel the prophet'. Tracked Douay read directly: v19 'And, destroying seven nations in the land of Chanaan, divided their land among them by lot.' v20 as quoted. v21 'And after that they desired a king: and God gave them Saul...forty years.' At 2330d63a5 the anchor was israel.monarchy.saul-accession with a re-ordered statement the Douay does not contain. Saul's accession is the TERMINUS of the period and belongs to v21's separate forty years; the event v20's 'after these things' points back to is the division of the land in v19. So the old anchor was both the wrong endpoint and the wrong event; the new one is what the text itself names. israel.conquest.division-of-the-land exists at HEAD and is itself relative (no year), so no arithmetic is manufactured. Relation is retrospective-event at Acts.13.20 and narrated-event over the Judges scope - correctly distinguished. Dependency-count check: the corpus and scripts/_chronology.py now state the saul-accession dependants in a form carrying no number ('bindings name it and other claims are measured from it'); loaded the corpus and counted relative.of == israel.monarchy.saul-accession = 3 (events.yaml x2, composition.yaml x1). No 'four claims' string survives.	-	Residual ambiguity recorded, not a defect: relative.of=division-of-the-land paired with a statement containing 'after four hundred and fifty years' could be read as 450 years after the division. precision is `relative`, not `offset`, so nothing is computed, and the claim note denies that attachment at length.
FA-041	claim	event:israel.monarchy.absalom-revolt#0	A3-006;E1-018;RR-025	passage.george-leo-haydock...second-kings-15-absalom-conspiracy-chronology; bible:douay-rheims:2Kings.15.7	Haydock artifact PDF p. 430 (printed p. 400), note on 2 Kings 15 ver. 7; 2 Kings 15:7	PASS	-	Preferred claim rank-1 (Douay text) with a rank-3 Haydock note; alternate is rank-3 Haydock A.M. 2980. Preferred outranks alternate. Usher appears only as reported by Haydock - the 4.3 licence - and no figure of his is adopted.	Tracked Douay 2Kings 15:7 read directly: 'And after forty years, Absalom said to king David: Let me go, and pay my vows which I have vowed to the Lord in Hebron.' - relative.statement is that verse verbatim. Haydock page .scratch/cold-audit/haydock-pages/page-0430.txt reopened: 'Ver. 7. Forty, which Vatable dates from the time when the people petitioned for a king; Salien, from the first anointing of David. M.-It is probable enough that this number has been substituted instead of four, which Josephus, Theodoret, Syr. Arab. and many Latin MSS. read'; and 'the chronology of Salien, Usher, dc. explains it well enough. H.'; and the two markers 'A.M. 2979, A. C. 1025' / 'A.M. 2980, A.C. 1024'. Both strings the corpus note quotes are on the page, verbatim, in named commentators' voices. At 2330d63a5 the anchor was israel.monarchy.david-reign, which is itself a 40-year duration from 2 Kings 5:4 - counting the revolt's forty years from the reign's start put it in the reign's final year, an origin no inspected source states and one the narrative cannot bear. HEAD anchors on israel.monarchy.absalom-preparations (2 Kings 15:1-6, the same chapter, immediately preceding), and the note says the anchor carries narrative sequence only and adopts neither Vatable's nor Salien's origin. Alternate claim (A.M. 2980) byte-identical across 2330d63a5..HEAD; block identical 214797e78..HEAD.	-	The preferred claim now lists the Haydock passage in `sources` alongside the Douay verse; the basis remains the Douay text and Haydock carries the note only, so the rank-1 footing is intact.
FA-042	claim	event:israel.monarchy.birth-of-david#0	P-025;RR-026	passage.catholic-encyclopedia.volume-4.new-york-1908.corbett-david-usual-chronology; artifact...newadvent-04642b-f1c0bed3	Corbett, 'David, King', CE vol. 4 (1908), printed p. 642, opening paragraph; facsimile page 722	CHANGES_REQUIRED	minor	Rank-6 CE, reporting 'the usual chronology' rather than asserting; correctly `disputed`, correctly not preferred. Provenance now complete (work/edition/artifact/inspected locus all distinct).	"The citation defect is REPAIRED. passage record exists at src/sources/works/catholic-encyclopedia/volume-4/editions/new-york-1908/passages/corbett-david-usual-chronology.toml with locus ""article 'David, King,' printed p. 642, opening paragraph"", artifact_page_ranges [[722,722]], pinning the IA facsimile artifact (sha d1b059b1...), while the New Advent web artifact stays listed beside it. Article reopened twice - retained extraction and a fresh https://www.newadvent.org/cathen/04642b.htm fetch - and the opening paragraph carries the basis verbatim: 'According to the usual chronology, David was born in 1085 and reigned from 1055 to 1015 B.C. Recent writers have been induced by the Assyrian inscriptions to date his reign from 30 to 50 years later.' Voice: Corbett reports, he does not assert. Diff 2330d63a5..HEAD of the whole event block: the ONLY change is the added passage id in `sources`; date, label, disposition, basis and note byte-identical. BUT the claim note carries a sentence that the 2026-08-27 withdrawal wave falsified and nobody updated: 'this corpus already holds that reckoning as one of three `disputed` claims for David's accession'. At HEAD israel.monarchy.david-accession holds TWO disputed claims (Petavius B.C. 1055; Sloet B.C. 1012); Howlett's 1002 was withdrawn at eb38161ba. Confirmed at the consumer boundary: query 2Kings.5.4 returns exactly two disputed accession claims."	In src/sources/chronology/events.yaml, event israel.monarchy.birth-of-david, the claim note (the paragraph beginning 'The disposition also has to agree with itself across the corpus.'), change 'one of three `disputed` claims for David's accession' to 'one of two `disputed` claims for David's accession' - the corpus holding Petavius's B.C. 1055 and Sloet's B.C. 1012 since Howlett's 1002 was withdrawn on 2026-08-27 - or restate the count in a form that cannot go stale, as the saul-accession note and scripts/_chronology.py::_claims now do. No other field of this claim requires change.	This is guidance 15.1(5), the same class FA-044 and FA-046 were opened for: the withdrawal wave carried its consequences through the capture-of-Sion and death-of-Saul notes but not through this one. FA-044's prescribed grep (1002/962/958/936/937) could not catch it because the stale item is a COUNT, not a figure. The manifest's own review instruction for this row ('query 1Kings.16.13') is wrong - birth-of-david is bound as retrospective-event and reaches 2Kings.5.4, not 1Kings.16.13; byte-identity was verified directly against git show 2330d63a5:src/sources/chronology/events.yaml instead.
FA-043	claim	event:israel.monarchy.david-accession#2	-	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, 'Biblical Chronology', CE vol. 3 (1908), closing sentence of 'The Exodus to the building of Solomon's Temple'	PASS	-	Withdrawal CORRECT. The figure is inside a modern-critical reconstruction, a declared non-authority of catholic-traditional-v1 (Egyptological/Assyriological chronology, 'not consulted, not used to adjust a traditional date').	Absence verified: at 214797e78 david-accession held three disputed claims (1055, 1012, 1002); at HEAD it holds exactly two, B.C. 1055 (Petavius via Sloet) and B.C. 1012 (Sloet's own), and query 2Kings.5.4 returns those two and no 1002. Source reopened in the retained extraction AND by fresh fetch of https://www.newadvent.org/cathen/03731a.htm: the sentence 'We conclude, therefore, that the date of the Exodus was about 1277, the monarchy was founded by Saul, 1020; David mounted the throne, 1002; Solomon in 962, and the Temple was begun, 958 B.C.' is the LAST sentence of a paragraph whose entire argument is modern-critical - Sayce's Ramses II 'reigned from 1348-1281 (Sayce)', Driver's 'Genesis' p. xxix, 'Assyriologists and Egyptologists agree', Meneptah, 'about the year 1277 (Early History of the Hebrews, 150)', 'we are left with only about 327 years, as against 480 required by 1 Kings 6:1', and 'Wellhausen and Stade regard 6:1, as a late insertion'. All nine of those strings verified verbatim on the live page. The 1002 is offered as one member of one 'We conclude, therefore' chain; nowhere does Howlett give it independent traditional ground. The subject note at HEAD records it as inspected and not held ('A third was inspected and is not held...It was withdrawn from this profile on 2026-08-27').	-	Nothing valid went with it: the two surviving figures, their bases, notes and dispositions are byte-identical to 214797e78.
