# Final repair ledger: the 23 rows the targeted cold re-review returned
# CHANGES_REQUIRED, one row each, and what was done about them.
#
# Review target of that re-review:  214797e784be0f20b40e6e64aefbe928e80d69c4
# Its artifacts landed at:          fdab026bed84293e6f1ceb4bb9b2366c0d1f699e
# This repair lane ran on:          fdab026be..HEAD
#
# Dispositions: fixed | withdrawn-after-new-evidence | blocked-source |
# maintainer-disposition
#
# This ledger also carries the re-disposition of two rows of
# post-audit-corrections.tsv -- A4-017 and F-021 -- which the re-review found
# recorded as `withdrawn-after-new-evidence` on grounds that do not hold. That
# file is NOT amended: it is the completed record of what an earlier lane
# decided against a frozen commit, post-audit-rereview-findings.tsv cites it,
# and rewriting it would make a published finding unreproducible against the
# tree. The correction lives here instead.
review_id	original_manifest_id	claim_or_case	severity	failure_type	disposition	source_record	source_locus	changed_files	changed_claims_or_scopes	correction_summary	test_or_check	final_acceptance_required	notes
RR-073	RR-073	gap:undated-in-tradition @ Gen - the row's prose is exact; four of the records it now names are not	major	citation-names-the-wrong-article	fixed	the four volume-6 records above; the CE index for G, abridged and unabridged	as RR-092 and RR-091	src/sources/works/catholic-encyclopedia/volume-6/editions/new-york-1909/artifacts/*/artifact.toml; src/sources/chronology/gaps.yaml; src/web/data/structure/sources	gap:undated-in-tradition @ Gen (reason and sources)	Closed by the RR-092 citation corrections and the RR-091 index work together. The row's own enumeration of uncovered verses, its article-number mapping and its quotations were re-verified and are exact; nothing in the row's substance needed changing. Its index clause now rests on the unabridged index and names the two articles - "General Chapter" and "Genesareth" - that the abridged page omits and that the row had always named correctly.	tools/tpt scripture-chronology query Gen.1.1; coverage unchanged at 524 undated-in-tradition verses for Gen	yes	
YAMLDUP	YAMLDUP	three duplicate mapping keys, invisible to every gate	minor	duplicate-mapping-key	fixed		events.yaml:1265 (`sources`); composition.yaml:1214 and :1274 (`label`)	src/sources/chronology/events.yaml; src/sources/chronology/composition.yaml; scripts/_chronology.py; tools/tests/test_chronology.py; guidance/scripture-chronology.md	no value changes - every duplicated pair was identical; the LOADER CONTRACT changes	The three keys are deleted, keeping the occurrence the corpus's own key order uses (a census of 464 claims finds 393 in `basis > sources > note > date` order and 158 dates in `precision > from > label`). More importantly the gate exists: the loader now parses every chronology document through a SafeLoader subclass whose construct_mapping records repeated keys at any depth, and refuses the file - naming the path, the line and the key - BEFORE the schema check and before any value is read as a fact. It is installed at _document, the single funnel every one of the five files and every consumer passes through, so no reader can bypass it; it rides the existing parse rather than scanning the bytes twice; and it adds no dependency, PyYAML being the only one the tool has. A wider sweep of all 31 YAML files in the repository and 11 changed TOML files found no other duplicate, and the corpus at 2330d63a5 scans clean, so this is the signature of one edit technique - insert-without-delete by string replacement - and not a systemic corpus problem. That is why the gate, and not the three rows, is the deliverable.	tools/tests/test_chronology.py::test_a_key_stated_twice_in_one_mapping_is_refused_with_its_line - a fixture whose duplicate is four mappings deep inside a list, asserting the refusal names the key and both lines; it does not raise when the gate is reverted	yes	This is why it mattered: PyYAML's SafeLoader silently keeps the last of a duplicated key, so `validate` reported the corpus valid, `check` reported the coverage table current and the whole suite passed over a corpus that is not valid YAML 1.2. Recorded as failure mode 11 in guidance section 15.1 and as a paragraph in section 16.
RR-004	RR-004	event:apostolic-age.saint-paul-first-roman-captivity#1 - two `sources` keys in one claim mapping	minor	duplicate-mapping-key	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", section "The apostles"	src/sources/chronology/events.yaml	no value changes; the duplicated key is deleted	Closed under YAMLDUP, which owns all three deletions and the gate.	as YAMLDUP	yes	The row's source substance was re-verified and is exact; only the structural residue needed removing.
RR-054	RR-054	unit:composition.fourth-book-of-kings#1 - a doubled `label`, and a note citing guidance that does not say what it is cited for	minor	duplicate-mapping-key	fixed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08652a-189e1a8f	Schets, "Third and Fourth Books of Kings", the authorship paragraph	src/sources/chronology/composition.yaml	no value changes; the duplicated key is deleted; the note's guidance citation is corrected	Closed under YAMLDUP, which owns all three deletions and the gate.	as YAMLDUP	yes	The prose half is corrected too: the note cited section 4.3 for a proposition section 4.3 does not contain, and section 15.1(3) for a reported-figure rule the note itself concedes 587 is not. The ground is now stated as what it actually is - an assertion made only inside a condition the article does not settle is not the article's unconditional answer - with 15.1(3) kept as the avowed near case so the Esdras clause after it still has an antecedent.
RR-062	RR-062	unit:composition.third-book-of-kings#1 - a doubled `label`	minor	duplicate-mapping-key	fixed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08652a-189e1a8f	Schets, "Third and Fourth Books of Kings", the authorship paragraph	src/sources/chronology/composition.yaml	no value changes; the duplicated key is deleted	Closed under YAMLDUP, which owns all three deletions and the gate.	as YAMLDUP	yes	The identical false section 4.3 citation stands verbatim on composition.third-book-of-kings#1 as well, which RR-054 scoped to 4 Kings and RR-062 did not raise at all. Both were corrected: leaving one would have had the corpus asserting a false guidance citation to any consumer querying 3 Kings.
RR-038	RR-038	event:israel.patriarchs.call-of-abram#3 - a note carried to a new subject without being re-read, asserting a false comparison	minor	quotation-not-re-read-at-source	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", the section "Creation to the flood" and the Flood-to-Abraham table	src/sources/chronology/events.yaml	event:israel.patriarchs.call-of-abram#3 (note)	The clause "wider than the whole antediluvian disagreement" is deleted. It is false on every reading: the article's own narrative gives the antediluvian totals as 1656 / 1307 / 2242, a spread of 935, its printed table row gives 2342 for a spread of 1035, and this corpus's own four deluge claims give 949 - all wider than the 780 the note compares them with. Deletion rather than restatement, because any restatement carrying a number would have to choose between the article's 2242 and its table's 2342, and the corpus expressly refuses that choice two hundred lines earlier at israel.primeval.deluge, recording the discrepancy and declining to settle it. The sentence's remaining work - "no ranked source inspected for this corpus settles it" - and the disposition rationale after it are sound and are preserved.	tools/tpt scripture-chronology query Gen.12.4 --json, which returns this note in full on the 1147 assertion	yes	Which of 2242 and 2342 the article means is decidable and was decided: the table's own Septuagint column sums to 2242, so the printed 2342 contradicts the figures directly above it. That does not change the required action - 780 is the narrower spread either way - but it means "the whole antediluvian disagreement" has no defensible value below 935.
RR-038-LEAD	RR-038	the same note, confirmed at source by the lead	minor	quotation-not-re-read-at-source	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	as RR-038	src/sources/chronology/events.yaml	as RR-038	Closed by the same edit as RR-038.	as RR-038	yes	The sentence predates the correction lane; what puts it in scope is that the lane MOVED it to a new subject without re-reading it, and a note that travels with a claim is asserted afresh wherever it lands.
RR-045	RR-045	unit:composition.book-of-abdias#0 - the note states that an authorable, ranked-reported Catholic opinion is deliberately omitted and gives no ground for the omission	minor	stated-ground-does-not-survive-checking	fixed	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01030b-f708bbb1	Gigot, "Abdias", the section "Date of the prophecy of Abdias", read in full	src/sources/chronology/composition.yaml	unit:composition.book-of-abdias#0 (note)	The true ground is supplied: the note now says that the correction which made this claim disputed authored no new claims, and that the second opinion is set down here in the article's own words so that it can be authored on the evidence rather than rediscovered. The alternative - authoring the second opinion as a second `disputed` claim - was tested and is legal and loadable, proved by probe: section 4.4 permits two disputed and no preferred, the shape the article states the opinion in is exactly a `relative` date anchored on israel.exile.seventy-years, and coverage does not move. It was NOT taken, because it is a new dated assertion from a new sentence in a source-of-truth file, which is chronology population, and this lane authors none. The defect the row states is a missing ground, and a missing ground is closed by supplying the ground.	tools/tpt scripture-chronology query Abd.1.1, unchanged at composition-only with one disputed claim	yes	The disposition half of the earlier correction is right and stands: the article prints three leading opinions and decides none, which is section 4.4's definition of `disputed` exactly. The audit's own S5-007 asked for both halves and only the first was done; the second is now grounded rather than performed, and the acceptance reviewer may take the other view. Note that the S5-007 ledger row's own arithmetic is wrong - the block it offers would make two disputed claims on the unit, not three; section 4.4 permits either, so nothing turned on it.
RR-067	RR-067	the Micheas refusal comment overstates the article's silence	minor	stated-ground-does-not-survive-checking	fixed	artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10278a-734c8637	Van Hoonacker, "Book of Micheas", the opening biographical paragraph and "Part two (chapters 4-5)"	src/sources/chronology/bindings.yaml	the comment block `# --- Micheas: what is NOT bound here, and why ---`	The comment claimed the article "says nothing about when the oracles were uttered". The sentence immediately before the one it quotes says a good deal: "Jerusalem was the scene of his ministry, and it occurred, as we learn from the title of his book, under the Kings Joathan (c. 740-735 B. C.), Achaz (735-727?), and Ezechias (727-698?)." Both sentences are now quoted in full, and the comment states what is true and no wider - that the article dates no oracle of chapters 4-5 to an occasion of utterance, and that what it does place is the ministry as a whole. It also records why that is left unauthored: this corpus holds no event for Micheas's ministry, and this lane corrects the record rather than populating it.	tools/tpt scripture-chronology query Mich.4.1, unchanged at composition-only	yes	The withdrawal of the binding is right and untouched: its whole warrant was a sentence about composition, which section 5 forbids reading as another relation, and which composition.book-of-micheas.chapters-4-5 already holds with both hedges. The new ground had to survive a comparison the old one would not: the same lane authored a whole-book prophecy-given for Osee from the same shape of evidence, so "the article says nothing" was not defensible, while "this corpus holds no event for the ministry" is - the Osee lane had to author that event first, and authoring one here is population.
RR-075	RR-075	gap:undated-in-tradition @ Lev - a closing clause false of the file it sits in, and an exhaustiveness claim the row's own next clause refutes	minor	stale-statement-within-one-wave; overbroad-silence-on-partial-evidence	fixed	artifact.catholic-encyclopedia.volume-9.new-york-1910.newadvent-09207a-e9463bc3; artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04761b-babad506	"Leviticus", CE vol. 9, the whole article; "Deuteronomy", CE vol. 4, its closing referral sentence	src/sources/chronology/gaps.yaml	gap:undated-in-tradition @ Lev (reason and sources)	Two corrections. The closing clause said "only Leviticus is recorded here" while gaps.yaml carries undated-in-tradition rows for Ex, Gen, Num and Deut as well, and the Deuteronomy row added by the same wave says so in as many words. It now states what is true: the other four stand under the same inspected silence and each carries its own row, and what distinguishes Leviticus is that no verse of it carries a dated assertion, so this row is the answer a query actually reaches for all 858 of its verses while theirs are wholly or partly displaced. Second, and not raised by the row: the reason opened "The Catholic Encyclopedia has no article on the book" and was refuted by its own next clause, which names "Leviticus" (09207a) as the article. That is the RR-091 defect in miniature - an exhaustiveness claim with no index registered at all - and is narrowed to "treats the book nowhere at length", which the retained evidence does prove. The "Deuteronomy" stub the row characterises is now cited: newadvent-04761b-babad506, refetched at 9488 bytes and sha babad506..., exact against the record, closing "The introductory questions concerning the Book of Deuteronomy are treated in the article PENTATEUCH."	tools/tpt scripture-chronology query Lev.1.1, which prints the whole reason to a consumer; the 858 verses confirmed from coverage.tsv and from the canonical edition	yes	09207a was refetched and matched its registered sha256 and byte_size exactly. The stub quotation and the row's characterisation of it are correct and were not changed.
WD-F-021	WD-F-021 (cold-audit F-021)	one article registered under two artifact ids, with neither record disclosing the other	minor	undisclosed-duplicate-artifact-identity	fixed	artifact.catholic-encyclopedia.volume-11...newadvent-11646c-5333461d and -b7ab7001; artifact.catholic-encyclopedia.volume-10...newadvent-10596a-ae23faf9 and -59d1207b	guidance/sources.md, the stable-identity paragraph and the artifact-immutability paragraph; the two registered byte-states of each page, diffed	the four artifact.toml files; src/web/data/structure/sources (regenerated)	none - no chronology answer changes; four source records gain a disclosure sentence	F-021's action was disjunctive. Its identity limb - collapse each pair and repoint the rows - stands defeated, but NOT on the ground the earlier ledger gave. That ledger argued the bytes were MATERIALLY changed; they were not. Both registered byte-states of each page were reopened and diffed, and the whole 359-byte delta, identical in both pairs, is one injected Cloudflare Insights beacon script tag; run through the corpus's own extractor the two byte-states yield identical text. Under the guidance's stable-identity paragraph that is not a material change and did not license a second record - as the repository's own registration helper now says in its ONE ARTICLE, ONE RECORD guard, written twelve minutes after these very duplicates were minted. The limb falls instead on the immutability paragraph's other half, "consumers remain pinned until reviewed": all four ids are cited by live rows, and each row cites the byte-state its author actually read. F-021's second limb, disclosure, was never addressed and is now done: all four records name their sibling id, the 359-byte delta and its cause.	tools/tpt source-library validate; tools/tpt scripture-chronology query Deut.1.1, Lev.1.1, Ex.1.1, Gen.1.1, Num.11.1 - all byte-identical before and after	yes	The tail clause - make the five Pentateuch-cluster rows cite one id, not two - is deliberately NOT executed. The Leviticus row was authored at 6aee94ea0, before the second pair existed, and the Deuteronomy lane's own work record states that it cited the records whose bytes it read. Repointing in either direction would move a consumer onto bytes no author inspected, which the guidance forbids; the four notes now state why the two ids are one article, which is what the tail clause was for. A validator rule suggests itself - two artifacts sharing a source_url must each name the other - and is deliberately NOT added: it would immediately fail make check on eight source_url groups covering eighteen records that this lane has no charter to touch, including a vatican.va pair with a ZERO-byte delta that no reading of the guidance justifies. Recorded for a later lane. Also recorded and not corrected: the two 10596a records render the author's name differently, one with a literal a-grave and one with the HTML entity.
MANIFEST-WHY	MANIFEST-WHY	the re-review manifest's `why` column cannot see a changed relative anchor	minor	review-apparatus-blind-to-a-major-class	fixed		src/sources/chronology/post-audit-rereview-manifest.tsv, the `why` column	src/sources/chronology/post-audit-rereview-manifest.tsv; scripts/chronology_review_diff.py; scripts/build_rereview_manifest.py (both added)	ten rows relabelled; the row set is unchanged	The manifest compared str(claim.date), and a relative date renders its `statement`, never its anchor, so an anchor moved without a restated statement was invisible. Exactly ten claims changed date.relative.of between the two commits and none changed duration.within. The manifest is regenerated with both in the compared tuple: the same 92 rows in the same order with the same ids, and ten `why` labels now reading `changed:anchor`, three of which previously read `changed:note` alone. The generator is TRACKED rather than left in scratch, because the old header pointed at .scratch/correction/build_rereview.py - a file that does not exist and was never tracked - and a manifest a cold reviewer cannot regenerate is a manifest they must take on faith. The new header names both revisions by sha rather than "HEAD", which had moved twice.	python3 scripts/build_rereview_manifest.py --check	yes	A wrong anchor is the class the cold audit rated major. It caused no missed review here - all three rows were assigned and all three passed on their merits - but the apparatus, not the outcome, was the defect. Two further blind spots of the same manifest were found while fixing this one and are closed in the final acceptance manifest rather than here: it compared binding SCOPE alone, so four binding groups that changed materially without changing scope appear on no row (two of them corrected misquotations of the tracked Douay), and it enumerated no guidance or loader change, so the contract drifting behind the implementation was caught by a reviewer's eye rather than by the apparatus.
STALEHEAD	STALEHEAD	post-audit-correction-report.md names a correction final HEAD six commits before the review target	minor	stale-statement-within-one-wave	fixed		src/sources/chronology/post-audit-correction-report.md line 9	src/sources/chronology/final-repair-report.md (added); src/sources/chronology/README.md	none - bookkeeping only	Corrected in a new closeout artifact, NOT by rewriting line 9. final-repair-report.md carries a head-reference block naming all four shas in full and stating exactly what 15213f79c is - the correction lane's last corpus-affecting commit, not its final head - together with what the six commits after it changed. The six were verified: no chronology YAML, no coverage.tsv and no scripts/ file, but two stored example transcripts and, at bff00167f, one shell gate's ASSERTION, so the report's implicit "nothing but recording" is indeed slightly too strong, and the block says so.	git diff --stat 15213f79c..214797e78; git log --oneline 15213f79c..214797e78	yes	Line 9 is deliberately left standing. post-audit-rereview-findings.tsv cites that report BY LINE NUMBER, so rewriting the line would make a published finding in immutable review evidence unreproducible against the tree - the finding would erase itself. The same reasoning leaves the re-review report's own "== HEAD" and "branch advanced beyond the target: no", both true when written and both false now.
