# Cold independent source audit of the Scripture chronology corpus.
# Audited corpus commit: 2330d63a5 (branch feature/bible-dating).
#
# Every row is a CHANGES_REQUIRED finding that survived an independent adversarial
# re-reading briefed to refute it; most survived two. 68 further findings were
# raised and refuted and are listed in the report, not here — a correction lane
# should not re-raise them without new evidence. 392 PASS rows are not listed.
# Where two verification passes split, the finding is held standing (35 rows).
#
# severity: critical = a materially false date, event, attribution or source
#   identity could reach a consumer as canonical fact. major = semantically wrong
#   without producing a wholly false date. minor = prose or metadata only.
finding_id	claim_id	audit_class	source_record	source_locus	result	severity	issue_type	recommended_action	notes
A4-006	event:israel.wilderness.mara-and-elim#0	B-wrong-anchor	bible:douay-rheims:Ex.15.22; bible:douay-rheims:Num.33.8	Exodus 15:22; Numbers 33:8 (context Num 33:3-8)	CHANGES_REQUIRED	major	wrong-relative-anchor	Correct anchor is the passage of the Red Sea (Exodus 14; Numbers 33:8), which this corpus holds no event for. Author that event and anchor the three days on it; do not leave israel.exodus.the-exodus carrying a three-day count, because Numbers 33:3-7 puts Soccoth, Etham and Phihahiroth between the departure and the sea.	Failure mode 15.1(2): valid anchor id, wrong anchor. Anchor plus label reads 'three days after the Exodus', but the tracked itinerary places at least three stations and the sea crossing between the departure from Ramesses and the start of the three days. Both Douay quotations are verbatim, the value (three) and units (days) are the source's, and the direction 'after' is right; only the anchor is wrong. The claim's own note correctly refuses to subtract Ex 16:1 to find the length of the camp at Elim.
A4-017	event:israel.exile.ezechiel.death-of-the-prophets-wife#0	A-duration-relative	bible:douay-rheims:Ezech.24.16; bible:douay-rheims:Ezech.24.17; bible:douay-rheims:Ezech.24.18; artifact.catholic-encyclopedia.volume-5.new-york-1909.newadvent-05737b-06e3e070	Ezechiel 24:15-18; Catholic Encyclopedia, "Ezekiel"	CHANGES_REQUIRED	major	containment-encoded-as-relative-anchor	Drop relative.of; keep the containment where it already is (parent: israel.exile.ezechiel.ministry) and carry the morning-to-evening sequence in the note, with typed silence and a gap row for the unplaced position, per §10.0 "Containment is not offset." The refusal to borrow the Ezech 24:1 dateline is correct and stands.	The three Douay quotations are verbatim and the decision NOT to carry the dateline of Ezech. 24:1 onto this word is correct and well argued. The defect is structural: the ministry is a span the same corpus measures at "at least twenty-two years", and anchoring an unplaced episode on it makes Date.anchor return a container as though it were the interval's start - the same shape as 15.1(2), where Jacob's twenty years were anchored on an event fourteen years into the term. The claim's own note says the episode is "anchored to the ministry and to nothing narrower, because nothing narrower is stated", which is the admission that no offset exists to encode.
A6-021	event:israel.conquest.war-against-the-kings-of-chanaan#0	A-duration-relative	bible:douay-rheims:Jos.11.18	Jos.11.18 (with Jos.11.23)	CHANGES_REQUIRED	major	duration-encoded-as-offset	Stop carrying the war's own length as the offset payload. Because "a long time" is not a whole positive number it cannot become precision duration either, so keep precision relative on the crossing ONLY as a sequence statement (the war follows the passage of the Jordan) and move "Josue made war a long time against these kings" into basis/note as the unquantified length it is - or type the length as silence with a gap row. Either way label must not read "a long time" beside an anchor.	This is guidance 10.0's own hazard in the form the guidance spells out: a consumer reading label "a long time" against anchor israel.conquest.crossing-of-the-jordan gets "the war began a long time after the crossing", which no source says - the claim note itself concedes "how long after, no inspected source says". The corpus contradicts itself here: the event-level note calls the same phrase "the narrator's 'a long time' at Josue 11:18" and "Its one measure of duration", while the date block encodes it as an offset. Both verses tracked-Douay verbatim.
A8-007	event:israel.wilderness.mary-stricken-at-haseroth#0	B-wrong-anchor	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01003a-5adaeca0	Catholic Encyclopedia vol. 1, "Aaron"	CHANGES_REQUIRED	major	anchor-not-at-interval-start	Re-anchor on israel.wilderness.departure-from-sinai, which the article's own "the second station after Mount Sinai" counts from and which the corpus already holds at Num.10.11; if the encampment is kept, the relative statement must say the offset runs from its end. Quotation, hedge and note are otherwise correct.	15.1(2) in its exact shape: a valid anchor id that is not the correct anchor. The corpus's own israel.wilderness.encampment-at-sinai is authored as a span "from the third month of the departure of Israel out of the land of Egypt until the second year, in the second month, the twentieth day of the month". Read from that span's start, "a few months later" places Haseroth about the fifth or sixth month of the FIRST year, whereas the same corpus holds, from Num.10.11 and Num.33.16-17, that Haseroth is two stations after a departure dated the twentieth day of the second month of the SECOND year - roughly a year later. The offset is therefore not measured from the anchor. The hedge "a few months" is correctly preserved and is not the defect; the quotation is verbatim; the fault is structural. Scripture supplies no interval at all, which the note states correctly.
B-043	binding:prophecy-given:israel.divided-kingdom.fall-of-samaria@Mich.4,Mich.5	B-binding-scope	artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10278a-0de24478	Catholic Encyclopedia vol. 10, "Book of Micheas"	CHANGES_REQUIRED	major	composition-evidence-used-for-prophecy-given	CHANGES_REQUIRED_RELATION	Three things go wrong on one sentence, and the same sentence is already correctly used elsewhere. (a) SEMANTIC TYPE: the source says 'must have been COMPOSED' and 'They probably DATE FROM'. Section 5 forbids reading composition as another relation, and prophecy-given is defined as 'when the oracle was uttered'. The corpus itself reads the sentence the right way at composition.book-of-micheas.chapters-4-5, whose stored label is 'shortly after the fall of Samaria in 722 B.C.' - so one source sentence is doing two jobs, one of them not its own. (b) OFFSET COLLAPSED ONTO ITS ANCHOR: 'shortly after' the fall becomes, through the binding, the fall's own year. (c) HEDGES LOST AT THE CONSUMER BOUNDARY: 'probably' and 'shortly after' survive in the composition unit's label and are absent from every prophecy-given line the query prints. The binding's own note concedes the point against itself - it says the fall is named 'as the occasion the oracles stand next to, not as the day they were uttered on' - which is a description of historical-setting, not of prophecy-given. CORRECTION: drop the prophecy-given binding (the composition unit already carries the sentence with its hedges intact), or re-relate it as historical-setting, which is what the note says it means. The material year is close, which is why this is major and not critical.
C-002	binding:historical-setting Dan -> israel.exile.first-captivity	C	artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04620a-900282cd	CE 'Daniel', biography section	CHANGES_REQUIRED	major	over-broad scope	Restrict the historical-setting scope to Dan.1, or rebind the whole book to a period event (israel.exile.seventy-years). The regnal note and both CE quotations are accurate; only the extent is unsupported.	Contrast the parallel Ezechiel binding (C-012), which IS whole-book-warranted because Ezechiel dates his book throughout from that deportation ('the fifth year of the captivity of king Joachin', 'the five and twentieth year of our captivity'). Daniel has no such reckoning: its chapters are dated by six different regnal years spanning Joakim to Cyrus. Both CE quotes are verbatim; the defect is scope, not fidelity.
C-009	binding:historical-setting Ps.30 -> israel.monarchy.david-in-the-desert-of-maon	C	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-30-traditional-settings; bible:douay-rheims:Ps.30.1	Haydock Ps 30:1, artifact p. 742 (visible printed p. 706)	CHANGES_REQUIRED	major	suppressed sourced alternative; one of several mutually exclusive readings asserted as preferred	Author the Absalom reading as a second historical-setting binding on Ps.30 to israel.monarchy.david-flight-from-absalom (§4.4: preserve the disagreement; §15.1(5): add, do not harmonize), or, if the corpus will not carry alternatives on a binding, withdraw the Maon binding and leave Ps 30 with typed silence. The note's stated ground for excluding Absalom - that the page "does not say which of the two markers standing inside 2 Kings 15 is meant" - does not survive checking: a binding carries no date at all (§6), the corpus already holds `israel.monarchy.david-flight-from-absalom` as a single event, that event's own claim is RELATIVE ("when he fled from the face of his son Absalom") and carries no marker to choose between, and the corpus binds two other psalms (Ps 3/142 and Ps 62/70) to it on exactly this kind of evidence. The real selection criterion was 'which alternative happens to have an event already', which is corpus convenience, not source authority.	Highest-consequence finding in this class. Verified by running `tools/tpt scripture-chronology query Ps.30.1`: a single unqualified `preferred` line delivers A. M. 2945 / A. C. 1059 as Psalm 30's historical setting, with no signal that the sole cited source offers four other settings spanning from Saul's persecution to the Babylonian captives. The A.M. figure itself is correctly sourced FOR MAON; what is wrong is the unhedged attachment of Maon to this psalm. Contrast the corpus's own handling of Ps 88 (C-011), where three Haydock readings are triaged on principled grounds (one is authorship, one is a different relation) and the ground is stated - that is the model this row should follow.
D-003	unit:composition.book-of-ecclesiasticus.greek#0	D	src/sources/works/ebible-org/... (tracked Greek witness: convocation-of-canterbury/revised-version/editions/ebible-eng-rv); guidance/scripture-chronology.md section 9.3	scripts/_chronology.py:1792 _system_loci; guidance/scripture-chronology.md sections 3.0.1 and 9.3	CHANGES_REQUIRED	major	native universe enumerated densely rather than from the text; 35 Greek verse numbers the witness does not print are counted as additional Scripture and reported as composition-only under this unit; two contradictory figures for one fact	The corpus already contradicts itself on this fact and the finding's side is the sourced one: src/sources/chronology/composition.yaml:1409 says "The concordance refuses 1 355 of the Greek book's 1 356 loci" while guidance §3.0.1 says "1 391 of its loci refuse the Vulgate" and §9.3 totals 37 209.	_system_loci builds each chapter as range(low, high+1) from _deuterocanon._extents, so every verse number the Greek witness SKIPS is invented back. Measured: greek printed 2156, dense 2194, 38 ghosts (Ecclus 35, SgThree 3); world-english-catholic printed 2094, dense 2131, 37 ghosts (Ecclus 34, Esth 3). Recomputing native_coverage over printed loci only gives greek additional 1356, wec additional 6, hebrew 0. The 35 Ecclus ghosts are precisely the verses the Latin carries and the Greek does not - which the same article calls 'additional lines or even verses foreign not only to the Greek, but also to the Hebrew text' - so the counting error converts Latin pluses into Greek Scripture and then reports the Greek-translation date as applying to them. This is the-shape section 2 inside the corpus built to prevent it: the repository holds two figures for one fact. scripts/_chronology.py:104-107 says 'The Greek Ecclesiasticus is the standing case: 1 355 of its 1 356 loci refuse the Vulgate', and src/sources/chronology/composition.yaml:1408 says 'The concordance refuses 1 355 of the Greek book's 1 356 loci'. Both of those are CORRECT and both contradict the 1 391 that guidance section 3.0.1, guidance section 9.3 and the coverage JSON print. Note this is NOT the same as the query API answering at any verse number: `tools/tpt scripture-chronology query Gen.1.99` also answers, so verse-existence is not checked anywhere and that is a general property, not a native-scope defect. The defect here is the counted universe.
E1-008	event:israel.exodus.the-exodus#0	E	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	"Biblical Chronology", section "Birth of Abraham to the Exodus"	CHANGES_REQUIRED	major	traditional-figure-denied-preferred	Prefer the traditional reckoning on this subject under the explicit-note clause of §4.4; profiles.yaml's own non-authority rule ('not used to adjust a traditional date') and §17's 'not a place to smuggle one in' are both violated by letting the modern figure's `disputed` disposition strip it. The note's 'reached independently of it' is separately unsupported: this corpus's burning-bush (#0 on israel.exodus.burning-bush) and moses-before-pharao claims both state the Haydock 'A. C. 1491' apparatus is an Usher-attributed reckoning, and the encyclopedia's 1490 is built on Ussher's regnal years.	Source fidelity passes: the basis quote is verbatim, as is the note's 'How do these results square with the teaching of science?'. The Ussher content is admissible under SS4.3 because a ranked Catholic source prints it and the encyclopedia is the source of record. The defect is dispositional. SS4.1: 'Where the two diverge the corpus keeps the traditional figure and says, in the assertion's own note, that it is a traditional figure.' Because the modern 1277 was authored on the same subject as disputed, SS4.4's rule that no claim is preferred while any is disputed strips the traditional figure of preferred status, and the traditional profile displays nothing for the Exodus. That is a modern reckoning adjusting a traditional date by demotion, which profiles.yaml forbids in terms ('not used to adjust a traditional date').
E1-009	event:israel.exodus.the-exodus#1	E	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	"Biblical Chronology", section "The Exodus to the building of Solomon's Temple"	CHANGES_REQUIRED	major	modern-critical-chronology-inside-traditional-profile	Move it to a modern profile with its own id (§4.1), or re-dispose it `alternate` beneath a preferred traditional claim. It may not stay `disputed`. The Ussher carve-out in profiles.yaml ('may be reported where a ranked Catholic source itself reports it') is written only for Protestant chronologies; the modern-critical entry has no such clause and says flatly 'Not consulted, not used to adjust a traditional date.'	Every quoted string in the basis and note is verbatim, including 'we are left with only about 327 years, as against 480 required by 1 Kings 6:1' and 'that passage seems to settle the question' (source: 'For the Catholic , that passage seems to settle the question'). Voice test: this is the article's own conclusion, not a reported third party, so it is not an SS15.1(3) failure. The failure is admissibility. profiles.yaml names as a non-authority 'Modern critical, archaeological, Egyptological and Assyriological chronology ... Not consulted, not used to adjust a traditional date', and SS4.1 says a modern chronology 'is a separate profile with its own id'. The claim's own note concedes the character of the figure ('a 1908 encyclopedist following the Egyptologists') and yet it is authored into the traditional profile, where its disputed disposition changes what the profile displays. Contrast the correct handling of the same sentence's 958 B.C. on israel.monarchy.temple-begun, which is alternate beneath a rank-1 preferred and changes nothing.
E1-010	event:israel.exodus.the-exodus#2	E	bible:douay-rheims:3Kings.6.1	3Kings.6.1, tracked Douay-Rheims	CHANGES_REQUIRED	major	rank-1-scripture-disposed-below-rank-6	Prefer this claim on israel.exodus.the-exodus and demote the 440 to `alternate` with its provenance, as the same variant is already handled by a note on temple-begun ('This corpus prints the Douay number and picks neither'). The inconsistency is the corpus's own: the same variant was authored as a claim on one subject and as a note on the other, and only that choice flips the disposition.	Quotation verified against the tracked Douay via verse.py, verbatim, so SS15.1(1) is clear. The anchor is the correct counterpart event (the verse puts the Exodus at the interval's start and the Temple at its end), and 'relative' carries no numeric offset that could compute the wrong way. The defect is that the same verse, in the same edition, is preferred on israel.monarchy.temple-begun#0 and disputed here; the claim's own note gives the ground as 'the same number is read differently in the Greek, which the Catholic Encyclopedia prints as 440' - a rank-6 report demoting a rank-1 statement, which SS4.2 forbids ('a higher rank never yields to a lower one').
E1-016	event:israel.monarchy.saul-accession#0	E	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	"Biblical Chronology", section "The Exodus to the building of Solomon's Temple", closing sentence	CHANGES_REQUIRED	major	modern-critical-figure-is-the-profile-s-only-answer	Remove the figure from catholic-traditional-v1 (§4.1: a modern chronology is a separate profile with its own id) and, if no ranked traditional source dates Saul's accession, author a gaps.yaml row naming the sources inspected so the subject reaches undated-in-tradition. `tools/tpt scripture-chronology query 1Kings.11.15` currently returns 'the monarchy was founded by Saul, 1020\talternate' as the only date, so the subject note's 'this profile does not display it first' describes an intention the mechanism does not carry out — a lone `alternate` names nothing it is alternate to.	The basis quotation is verbatim and the note's characterisation is exactly right, including 'the traditional date' for 975, which the article does say of the revolt of the Ten Tribes. So this is not a fidelity failure; it is the admissibility failure the class exists to catch, in its purest form. profiles.yaml's second non-authority is 'Modern critical, archaeological, Egyptological and Assyriological chronology ... Not consulted', and the subject note concedes the figure is 'his own reconstruction rather than a traditional reckoning'. Prose saying 'this profile does not display it first' does not change the fact that it is the only thing there is to display. Compare israel.exodus.the-exodus, where the same reconstruction at least stands beside a traditional figure.
