# Profile-contract cold-review manifest for the Scripture chronology corpus.
#
# The complete review surface for a GENUINELY COLD review of the
# profile-contract correction lane: a new agent or session that performed
# none of the population, none of the audits, and none of these corrections.
# Every row is reviewed. Nothing is sampled and nothing is hand-picked.
#
# Derived by diffing the corpus at c1dee9fc0ddfea3ea06d951c7ad25d05b75b0341 -- loaded by ITS OWN loader --
# against the WORKING TREE loaded by the loader in it, as OBJECTS, so a
# reformat cannot hide a change; then unioned with four whole-population
# queries over the head corpus (every claim citing Howlett, every claim citing
# Sloet, every claim naming a reporting exception, every preserved claim, and
# every claim still carrying basis_class `unreviewed`), and with the five
# blockers by id and the contract and gate files by path, and with every gap
# row added, withdrawn or reworded, which is what a verse answers with once the
# last answerable claim standing over it has been preserved.
#
# Deduplicated on case_type + ':' + case_id. `why_in_review` keeps EVERY
# reason that reached a row, so a case that four clauses of the brief reach
# is one row that says so four times rather than four rows saying it once.
#
# Regenerate with `python3 scripts/build_profile_contract_manifest.py`, and ask
# whether it has drifted with the same command and `--check`. BOTH derive
# against the base PINNED IN THE BUILDER as `BASE_REVISION`, and NEITHER reads
# the base out of the line above. Until 2026-09-02 write mode defaulted to HEAD,
# so a cold reviewer who ran the command printed here in a clean clone rebased
# this surface onto HEAD and collapsed it from 475 rows to 95 -- and `--check`,
# which took its base from this file's own header, then reported the collapse as
# current. Both halves are fixed; the command above is safe to run.
#
# `--base REV` still exists, for a one-off comparison against some other
# revision. What it produces is a DIFFERENT artifact and is not this one, and
# `--check` will say so.
# Rows: 480.
review_id	case_type	case_id	changed_in_lane	change	answerability_change	basis_class	answerability	disposition	source_record	prior_review_ids	why_in_review
PC-011	claim	event:apostolic-age.council-of-jerusalem#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-012	claim	event:apostolic-age.council-of-jerusalem#1	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11744a-3bac29d1	-	the claim's own stored state changed in this lane
PC-013	claim	event:apostolic-age.council-of-jerusalem#2	yes	changed:basis_class+note	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08537a-e2154141	-	the claim's own stored state changed in this lane
PC-014	claim	event:apostolic-age.council-of-jerusalem#3	yes	changed:basis_class	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-015	claim	event:apostolic-age.council-of-jerusalem#4	yes	changed:basis_class	-	scripture	answerable	alternate	bible:douay-rheims:Gal.2.1;artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-016	claim	event:apostolic-age.death-of-herod-agrippa#0	yes	changed:basis_class+note	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8;artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04;artifact.eusebius.ecclesiastical-history.english-mcgiffert-npnf2-1-newadvent-web-2026-07-27.newadvent-250102-f073ad45	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-017	claim	event:apostolic-age.death-of-saint-john#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08492a-68d29c7c	-	the claim's own stored state changed in this lane
PC-018	claim	event:apostolic-age.destruction-of-jerusalem#0	yes	changed:basis_class	-	patristic	answerable	preferred	artifact.eusebius.ecclesiastical-history.english-mcgiffert-npnf2-1-newadvent-web-2026-07-27.newadvent-250103-4d77d36f	-	the claim's own stored state changed in this lane
PC-019	claim	event:apostolic-age.destruction-of-jerusalem#1	yes	changed:basis_class+note	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-020	claim	event:apostolic-age.exile-of-saint-john-to-patmos#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08492a-68d29c7c;artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01594b-7f47696f;artifact.eusebius.ecclesiastical-history.english-mcgiffert-npnf2-1-newadvent-web-2026-07-27.newadvent-250103-4d77d36f;artifact.jerome.de-viris-illustribus.english-richardson-npnf2-3.newadvent-2708-85587778	-	the claim's own stored state changed in this lane
PC-021	claim	event:apostolic-age.exile-of-saint-john-to-patmos#1	yes	changed:answerability+basis_class+note	answerable->preserved (claim-changed)	rejected-by-source	preserved	alternate	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01594b-7f47696f	-	the claim's own stored state changed in this lane | the claim's candidate eligibility changed: answerability+basis_class+note | preserved-only claim: reachable through the evidence surface and excluded from every default answer
PC-022	claim	event:apostolic-age.fall-of-jerusalem#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-023	claim	event:apostolic-age.famine-under-claudius#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-024	claim	event:apostolic-age.flight-of-the-christians-from-jerusalem#0	yes	changed:basis_class	-	patristic	answerable	preferred	artifact.eusebius.ecclesiastical-history.english-mcgiffert-npnf2-1-newadvent-web-2026-07-27.newadvent-250103-4d77d36f	-	the claim's own stored state changed in this lane
PC-025	claim	event:apostolic-age.flight-of-the-christians-from-jerusalem#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-026	claim	event:apostolic-age.founding-of-the-south-galatian-churches#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08537a-e2154141	-	the claim's own stored state changed in this lane
PC-027	claim	event:apostolic-age.jewish-revolt-against-rome#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08537a-e2154141;artifact.eusebius.ecclesiastical-history.english-mcgiffert-npnf2-1-newadvent-web-2026-07-27.newadvent-250102-f073ad45	-	the claim's own stored state changed in this lane
PC-028	claim	event:apostolic-age.martyrdom-of-saint-paul#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-029	claim	event:apostolic-age.martyrdom-of-saint-paul#1	yes	changed:basis_class	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11744a-3bac29d1	-	the claim's own stored state changed in this lane
PC-030	claim	event:apostolic-age.martyrdom-of-saint-paul#2	yes	changed:basis_class	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11744a-3bac29d1	-	the claim's own stored state changed in this lane
PC-031	claim	event:apostolic-age.martyrdom-of-saint-paul#3	yes	changed:basis_class	-	patristic	answerable	alternate	artifact.jerome.de-viris-illustribus.english-richardson-npnf2-3.newadvent-2708-85587778	-	the claim's own stored state changed in this lane
PC-032	claim	event:apostolic-age.martyrdom-of-saint-peter#0	yes	changed:basis_class	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11744a-3bac29d1	-	the claim's own stored state changed in this lane
PC-033	claim	event:apostolic-age.martyrdom-of-saint-peter#1	yes	changed:basis_class	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11744a-3bac29d1	-	the claim's own stored state changed in this lane
PC-034	claim	event:apostolic-age.martyrdom-of-saint-peter#2	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11744a-3bac29d1	-	the claim's own stored state changed in this lane
PC-035	claim	event:apostolic-age.martyrdom-of-saint-stephen#0	yes	changed:basis_class+basis	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-036	claim	event:apostolic-age.persecution-by-herod-agrippa#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11744a-3bac29d1	-	the claim's own stored state changed in this lane
PC-037	claim	event:apostolic-age.return-of-saint-john-from-patmos#0	yes	changed:basis_class	-	patristic	answerable	preferred	artifact.eusebius.ecclesiastical-history.english-mcgiffert-npnf2-1-newadvent-web-2026-07-27.newadvent-250103-4d77d36f;artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08492a-68d29c7c	-	the claim's own stored state changed in this lane
PC-038	claim	event:apostolic-age.saint-paul-apostolate-at-antioch#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-039	claim	event:apostolic-age.saint-paul-at-corinth#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Acts.18.11	-	the claim's own stored state changed in this lane
PC-040	claim	event:apostolic-age.saint-paul-at-ephesus#0	yes	changed:basis_class	-	scripture	answerable	disputed	bible:douay-rheims:Acts.19.10	-	the claim's own stored state changed in this lane
PC-041	claim	event:apostolic-age.saint-paul-at-ephesus#1	yes	changed:basis_class	-	scripture	answerable	disputed	bible:douay-rheims:Acts.20.31	-	the claim's own stored state changed in this lane
PC-042	claim	event:apostolic-age.saint-paul-first-mission#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-043	claim	event:apostolic-age.saint-paul-first-roman-captivity#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-044	claim	event:apostolic-age.saint-paul-first-roman-captivity#1	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-045	claim	event:apostolic-age.saint-paul-first-roman-captivity#2	yes	changed:basis_class	-	scripture	answerable	alternate	bible:douay-rheims:Acts.28.30	-	the claim's own stored state changed in this lane
PC-046	claim	event:apostolic-age.saint-paul-first-visit-to-jerusalem#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gal.1.18	-	the claim's own stored state changed in this lane
PC-047	claim	event:apostolic-age.saint-paul-first-visit-to-jerusalem#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-048	claim	event:apostolic-age.saint-paul-first-visit-to-jerusalem#2	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-049	claim	event:apostolic-age.saint-paul-fourth-visit-to-jerusalem#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-050	claim	event:apostolic-age.saint-paul-imprisonment-at-caesarea#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Acts.24.27	-	the claim's own stored state changed in this lane
PC-051	claim	event:apostolic-age.saint-paul-missionary-expeditions#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-052	claim	event:apostolic-age.saint-paul-second-mission#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-053	claim	event:apostolic-age.saint-paul-second-mission#1	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-054	claim	event:apostolic-age.saint-paul-second-period-of-activity#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-055	claim	event:apostolic-age.saint-paul-second-visit-to-jerusalem#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-056	claim	event:apostolic-age.saint-paul-second-visit-to-jerusalem#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-057	claim	event:apostolic-age.saint-paul-sent-to-rome#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-058	claim	event:apostolic-age.saint-paul-sent-to-rome#1	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-059	claim	event:apostolic-age.saint-paul-sojourn-at-tarsus#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-060	claim	event:apostolic-age.saint-paul-third-mission#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-061	claim	event:apostolic-age.saint-paul-third-mission#1	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-062	claim	event:apostolic-age.second-arrest-of-saint-paul#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11567b-bff0dda8	-	the claim's own stored state changed in this lane
PC-063	claim	event:apostolic-age.siege-of-jerusalem-begun#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-064	claim	event:apostolic-age.vespasian-invades-galilee#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-065	claim	event:israel.conquest.calebs-inheritance#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Jos.14.10	-	the claim's own stored state changed in this lane
PC-066	claim	event:israel.conquest.crossing-of-the-jordan#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Jos.4.19	-	the claim's own stored state changed in this lane
PC-067	claim	event:israel.conquest.crossing-of-the-jordan#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08524a-98ab5e95	-	the claim's own stored state changed in this lane
PC-068	claim	event:israel.conquest.division-of-the-land#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Jos.13.1;bible:douay-rheims:Jos.11.23	-	the claim's own stored state changed in this lane
PC-069	claim	event:israel.conquest.first-pasch-in-the-land#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Jos.5.10	-	the claim's own stored state changed in this lane
PC-070	claim	event:israel.conquest.last-charge-and-death-of-josue#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Jos.23.1;bible:douay-rheims:Jos.24.29	-	the claim's own stored state changed in this lane
PC-071	claim	event:israel.conquest.sending-of-the-spies-to-jericho#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Jos.1.11;bible:douay-rheims:Jos.2.22;bible:douay-rheims:Jos.3.2	-	the claim's own stored state changed in this lane
PC-072	claim	event:israel.conquest.war-against-the-kings-of-chanaan#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Jos.11.18;bible:douay-rheims:Jos.11.23	-	the claim's own stored state changed in this lane
PC-073	claim	event:israel.divided-kingdom.division#0	yes	changed:basis_class+note	-	reported-traditional	answerable	preferred	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	FA-018;RR-090-LEAD	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-074	claim	event:israel.divided-kingdom.division#1	yes	changed:basis_class+basis+note	-	reported-traditional	answerable	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	-	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample"
PC-075	claim	event:israel.divided-kingdom.division#2	yes	changed:answerability+basis_class+basis+note	answerable->preserved (claim-changed)	profane-harmonisation	preserved	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	MF-3;FA-019	"the claim's own stored state changed in this lane | the claim's candidate eligibility changed: answerability+basis_class+basis+note | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-076	claim	event:israel.divided-kingdom.division#3	yes	added	-	modern-critical	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-077	claim	event:israel.divided-kingdom.division#4	yes	added	-	modern-critical	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-078	claim	event:israel.divided-kingdom.ezechias-accession#0	yes	changed:disposition+basis_class+basis+note	-	reported-traditional	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	-	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample"
PC-079	claim	event:israel.divided-kingdom.ezechias-accession#1	yes	changed:disposition+answerability+basis_class+basis+note	answerable->preserved (claim-changed)	profane-harmonisation	preserved	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	MF-3	"the claim's own stored state changed in this lane | the claim's candidate eligibility changed: disposition+answerability+basis_class+basis+note | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-080	claim	event:israel.divided-kingdom.fall-of-samaria#0	yes	changed:disposition+basis_class+date+anchor+label+sources+basis+note+precision+endpoints+relative	-	scripture	answerable	preferred	bible:douay-rheims:4Kings.18.10;bible:douay-rheims:4Kings.17.6	MF-1;FA-140	the claim's own stored state changed in this lane | BLOCKER 1 -- fall of Samaria: the rank-1 Scriptural relation of 4 Kings 18:10, suppressed until 2026-09-01 by Sloet's critical judgement that the Ezechias-Osee synchronism is unhistorical
PC-081	claim	event:israel.divided-kingdom.fall-of-samaria#1	yes	changed:disposition+basis_class+date+label+sources+basis+note+precision+endpoints	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03315a-9cb437e2	-	the claim's own stored state changed in this lane
PC-082	claim	event:israel.divided-kingdom.fall-of-samaria#2	yes	changed:disposition+basis_class+date+label+sources+basis+note+precision+endpoints	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-083	claim	event:israel.divided-kingdom.fall-of-samaria#3	yes	changed:disposition+basis_class+date+label+basis+note+precision+endpoints	-	reported-traditional	answerable	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	-	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample"
PC-084	claim	event:israel.divided-kingdom.fall-of-samaria#4	yes	added	-	profane-harmonisation	preserved	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	MF-3;FA-019	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-085	claim	event:israel.divided-kingdom.josias-reform#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:4Kings.22.3;bible:douay-rheims:4Kings.23.23	-	the claim's own stored state changed in this lane
PC-086	claim	event:israel.divided-kingdom.josias-reform#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08647b-a445d5a7	-	the claim's own stored state changed in this lane
PC-087	claim	event:israel.divided-kingdom.josias-reign#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08523a-612a4c8c	-	the claim's own stored state changed in this lane
PC-088	claim	event:israel.divided-kingdom.josias-reign#1	yes	changed:basis_class+basis+note	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	-	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample"
